Data;ﭺ vista R$
01/2015;1,4826
02/2015;1,5080
03/2015;1,4176
04/2015;1,4151
05/2015;1,4067
06/2015;1,4033
07/2015;1,4028
08/2015;1,3778
09/2015;1,4341
10/2015;1,6956
11/2015;1,8543
12/2015;2,0035
01/2016;2,0722
02/2016;2,0845
03/2016;2,1257
04/2016;1,7295
05/2016;1,6335
06/2016;1,7462
07/2016;1,6687
08/2016;1,7455
09/2016;1,8205
10/2016;2,0368
11/2016;2,1713
12/2016;2,0195
01/2017;2,1101
02/2017;1,9308
03/2017;1,7610
04/2017;1,6764
05/2017;1,6908
06/2017;1,5875
07/2017;1,4865
08/2017;1,6341
09/2017;1,6124
10/2017;1,7039
11/2017;1,8439
12/2017;1,9260
01/2018;1,9708
02/2018;2,0249
03/2018;2,0130
04/2018;1,7768
05/2018;1,7353
06/2018;1,8563
07/2018;1,7177
08/2018;1,6698
09/2018;1,8193
10/2018;2,0195
11/2018;1,9127
12/2018;1,9025
01/2019;1,8477
02/2019;1,7760
03/2019;1,9695
04/2019;2,0021
05/2019;1,9144
06/2019;1,8976
07/2019;1,8824
08/2019;1,9508
09/2019;1,9114
10/2019;2,0041
11/2019;2,0827
12/2019;2,1765
01/2020;2,2993
02/2020;2,3214
03/2020;2,1649
04/2020;1,6731
05/2020;1,6216
06/2020;1,8384
07/2020;1,8635
08/2020;1,9618
09/2020;2,1198
10/2020;2,1912
11/2020;2,4278
12/2020;2,4233
01/2021;2,4364
02/2021;2,5635
03/2021;3,0999
04/2021;2,7349
05/2021;3,1992
06/2021;3,3715
07/2021;3,4265
08/2021;3,7634
09/2021;3,7758
10/2021;3,9272
11/2021;4,3039
12/2021;3,9442
01/2022;3,8652
02/2022;3,4840
03/2022;3,7757
04/2022;4,2067
05/2022;3,9371
06/2022;3,6441
07/2022;3,4996
08/2022;3,1296
09/2022;2,7709
10/2022;3,1076
11/2022;3,2748
12/2022;3,1219
01/2023;3,0539
02/2023;3,0384
03/2023;3,1754
04/2023;3,3252
05/2023;3,2248
06/2023;2,9213
07/2023;2,8505
08/2023;2,5840
09/2023;2,5298
10/2023;2,6804
11/2023;2,5501
12/2023;2,4405
01/2024;2,3845
02/2024;2,4630
03/2024;2,4756
04/2024;2,6996
05/2024;2,6715
06/2024;2,7500
07/2024;2,9137
08/2024;2,9219
09/2024;2,9691
10/2024;2,9346
11/2024;2,9271
12/2024;2,9087
01/2025;3,0705
02/2025;3,2066
03/2025;3,3520
04/2025;3,1328
05/2025;3,5664
06/2025;3,5482
